"End","Sleep.quality","Time.in.bed","Heart.rate","Steps"
"2015-08-06 09:31:10","81%","7:53",60,6215
"2015-08-07 09:10:46","63%","6:54",56,5406
"2015-08-08 09:25:54","70%","6:10",54,1553
"2015-08-09 09:18:43","75%","6:16",60,2256
"2015-08-10 09:17:31","61%","6:36",58,1308
"2015-08-11 09:10:32","73%","6:52",57,3989
"2015-08-12 08:56:34","73%","6:17",54,83
"2015-08-13 10:15:31","63%","7:35",65,14731
"2015-08-14 10:28:34","95%","8:06",63,9596
"2015-08-15 09:42:53","78%","8:01",54,3448
"2015-08-16 10:18:09","87%","8:13",52,2111
"2015-08-17 09:09:23","86%","8:08",51,3427
"2015-08-18 08:05:53","69%","5:45",64,10134
"2015-08-19 08:06:30","73%","5:50",59,11165
"2015-08-20 10:16:17","67%","6:19",53,3562
"2015-08-21 07:29:08","55%","4:23",59,6371
"2015-08-30 08:31:16","67%","7:31",60,5555
"2015-08-31 09:13:42","52%","7:52",61,6707
"2015-09-01 07:41:22","54%","7:00",54,8103
"2015-09-02 08:28:48","59%","6:31",72,4638
"2015-09-03 08:22:21","61%","6:48",69,6006
"2015-09-04 08:41:38","63%","7:36",61,4273
"2015-09-05 08:48:49","74%","7:14",56,8427
"2015-09-06 07:30:59","63%","7:13",56,3613
"2015-09-07 07:48:21","67%","7:22",58,4037
"2015-09-08 08:12:28","72%","7:21",56,7954
"2015-09-09 07:57:09","64%","7:33",63,6146
"2015-09-10 08:17:55","76%","7:27",47,4478
"2015-09-11 08:10:23","66%","7:20",54,3523
"2015-09-12 08:04:53","60%","6:21",61,2274
"2015-09-13 08:03:26","61%","6:16",NA,130
"2015-09-14 08:00:58","71%","7:14",65,5162
"2015-09-15 08:08:43","70%","7:09",60,6166
"2015-09-16 07:54:01","82%","7:30",76,3205
"2015-09-17 08:05:54","74%","6:44",52,4809
"2015-09-18 08:09:08","81%","7:21",49,7816
"2015-09-19 08:03:47","85%","7:22",59,5075
"2015-09-20 08:23:13","81%","7:41",60,801
"2015-09-21 08:01:05","82%","7:43",57,3608
"2015-09-22 08:08:07","74%","6:11",50,8162
"2015-09-23 07:34:38","69%","6:29",60,3463
"2015-09-24 08:19:18","86%","7:15",57,3873
"2015-09-25 08:33:15","84%","7:51",56,3769
"2015-09-26 08:55:02","44%","4:51",65,8703
"2015-09-27 08:17:57","69%","8:01",59,1807
"2015-09-28 08:28:08","84%","8:00",58,3153
"2015-09-29 08:24:31","87%","7:51",62,3653
"2015-09-30 08:17:37","93%","8:06",60,5143
"2015-10-01 08:43:18","80%","7:38",57,10229
"2015-10-02 08:53:32","80%","7:02",59,6603
"2015-10-04 08:30:33","94%","7:45",57,364
"2015-10-05 08:30:40","93%","7:58",58,3120
"2015-10-06 08:34:59","89%","8:18",95,9141
"2015-10-07 08:38:01","86%","7:37",58,9082
"2015-10-08 08:18:19","90%","7:45",63,5679
"2015-10-09 08:50:01","90%","8:15",54,5355
"2015-10-10 08:50:29","82%","7:54",58,2699
"2015-10-11 08:21:39","85%","8:02",53,2024
"2015-10-12 08:48:28","85%","8:06",59,1091
"2015-10-13 08:55:22","90%","8:01",60,6211
"2015-10-14 08:54:26","76%","7:37",60,7290
"2015-10-15 08:51:15","86%","7:43",74,3447
"2015-10-16 09:02:16","81%","7:41",73,5768
"2015-10-17 08:50:45","92%","9:09",66,9532
"2015-10-18 08:53:05","94%","8:30",71,1842
"2015-10-19 07:26:24","83%","7:28",63,5720
"2015-10-20 07:29:43","76%","7:22",50,3498
"2015-10-21 07:55:14","83%","7:35",NA,6074
"2015-10-22 07:36:52","83%","7:34",60,8596
"2015-10-23 07:50:18","64%","7:37",78,5603
"2015-10-24 08:58:37","84%","7:22",65,8975
"2015-10-25 08:49:17","86%","7:43",58,5999
"2015-10-26 08:53:18","80%","7:13",58,7522
"2015-10-27 07:38:11","82%","7:35",56,5350
"2015-10-28 08:33:36","89%","7:25",66,4464
"2015-10-29 07:40:26","87%","7:31",66,6742
"2015-10-30 08:00:25","82%","7:41",60,5128
"2015-10-31 08:15:01","91%","7:43",62,10834
"2015-11-01 08:04:15","84%","7:53",60,6928
"2015-11-02 07:59:26","88%","7:51",54,1970
"2015-11-03 07:55:40","87%","7:41",57,4618
"2015-11-04 08:10:13","75%","7:26",66,3063
"2015-11-05 08:24:23","91%","7:43",70,6003
"2015-11-07 09:30:14","81%","8:01",81,5982
"2015-11-08 08:01:05","72%","7:29",58,0
"2015-11-09 08:11:17","91%","7:54",59,1484
"2015-11-11 08:11:40","83%","7:46",68,2938
"2015-11-12 07:31:33","83%","7:27",59,10809
"2015-11-13 08:30:14","79%","7:00",55,5607
"2015-11-14 08:35:09","74%","6:29",61,8731
"2015-11-15 08:38:17","88%","7:55",63,1964
"2015-11-16 08:18:38","83%","8:23",67,3005
"2015-11-18 08:23:29","88%","7:46",69,3849
"2015-11-19 09:15:31","95%","8:21",68,3975
"2015-11-20 05:23:25","58%","5:33",60,2004
"2015-11-21 08:09:21","90%","8:49",67,179
"2015-11-22 08:18:13","82%","7:14",66,1326
"2015-11-23 09:27:24","92%","7:45",59,847
"2015-11-24 07:50:47","79%","7:27",88,2487
"2015-11-25 08:57:32","90%","7:56",66,4346
"2015-11-29 08:27:57","92%","8:03",63,1875
"2015-11-30 07:42:39","89%","7:43",67,1600
"2015-12-01 08:13:28","85%","8:45",63,2808
"2015-12-02 08:05:57","91%","7:37",70,7070
"2015-12-03 07:51:11","85%","7:49",68,3579
"2015-12-04 08:34:30","88%","7:48",69,5327
"2015-12-05 08:49:10","89%","8:05",60,4434
"2015-12-06 08:40:37","69%","6:45",64,4101
"2015-12-07 08:26:52","81%","8:15",61,1232
"2015-12-08 08:10:52","88%","8:08",61,3331
"2015-12-09 08:27:00","73%","7:10",67,4481
"2015-12-10 08:27:08","87%","7:58",54,1722
"2015-12-11 08:30:10","84%","7:49",62,2561
"2015-12-12 08:54:43","79%","7:56",68,372
"2015-12-13 09:15:44","87%","8:03",NA,4356
"2015-12-14 08:29:12","84%","8:06",58,3088
"2015-12-15 07:25:52","71%","6:33",54,762
"2015-12-16 09:58:57","84%","7:52",68,2944
"2015-12-17 08:30:46","89%","8:07",73,1420
"2015-12-18 10:00:24","93%","8:45",63,1810
"2015-12-19 08:54:25","81%","7:59",53,2098
"2015-12-20 09:42:14","81%","7:26",62,4928
"2015-12-21 08:52:28","100%","8:27",60,286
"2015-12-22 09:12:56","81%","8:15",58,2402
"2015-12-23 08:58:51","86%","8:05",56,3126
"2015-12-24 08:41:11","72%","6:31",71,3567
"2015-12-25 08:50:41","93%","8:11",66,6054
"2015-12-26 08:07:55","71%","7:50",64,3070
"2015-12-27 08:44:10","70%","6:17",63,3548
"2015-12-28 08:45:11","70%","6:30",69,5473
"2015-12-29 09:36:39","85%","7:29",63,10127
"2015-12-30 11:18:00","92%","8:11",56,982
"2015-12-31 11:52:53","95%","8:42",63,11385
"2016-01-01 12:11:41","77%","7:36",64,1601
"2016-01-02 11:27:14","93%","9:24",67,713
"2016-01-03 09:58:32","79%","8:03",NA,1194
"2016-01-04 10:46:09","97%","8:04",63,1521
"2016-01-05 08:55:57","56%","4:57",70,6805
"2016-01-06 11:18:53","91%","7:48",67,2011
"2016-01-07 10:52:51","95%","8:02",65,2924
"2016-01-10 08:49:06","83%","7:58",69,1319
"2016-01-11 09:24:56","89%","8:31",59,4046
"2016-01-12 09:11:13","90%","7:48",59,2909
"2016-01-13 08:33:03","92%","8:16",60,3465
"2016-01-14 08:46:16","78%","7:46",60,1448
"2016-01-15 08:25:19","74%","7:53",67,2414
"2016-01-16 09:29:45","86%","7:47",62,4884
"2016-01-17 08:40:21","88%","7:54",62,2751
"2016-01-18 08:23:17","86%","8:02",55,1407
"2016-01-19 08:35:38","88%","8:37",64,2478
"2016-01-20 08:09:07","89%","8:02",52,3060
"2016-01-21 07:53:11","71%","8:41",62,3343
"2016-01-22 08:20:10","96%","8:46",60,1909
"2016-01-23 08:36:48","88%","7:58",74,1954
"2016-01-24 08:20:22","95%","8:40",56,379
"2016-01-25 08:12:06","90%","8:29",60,703
"2016-01-26 07:55:23","90%","8:21",63,2311
"2016-01-27 07:53:21","89%","8:19",70,4026
"2016-01-28 07:50:00","90%","8:00",66,7790
"2016-01-29 07:52:32","96%","8:38",67,4681
"2016-01-30 08:06:30","87%","8:13",62,4146
"2016-01-31 07:49:51","80%","7:51",68,3117
"2016-02-01 07:10:09","81%","8:07",74,4859
"2016-02-02 07:52:33","76%","7:38",63,6167
"2016-02-03 07:00:35","86%","7:35",74,9422
"2016-02-04 07:01:45","79%","7:21",55,7987
"2016-02-05 07:00:34","80%","7:49",63,6835
"2016-02-06 07:30:06","69%","6:13",72,7598
"2016-02-07 06:59:35","75%","6:59",60,3484
"2016-02-08 07:15:43","83%","7:05",60,5777
"2016-02-09 06:42:27","70%","6:50",61,9414
"2016-02-10 07:30:23","75%","7:26",62,8090
"2016-02-11 07:04:37","81%","7:42",58,10007
"2016-02-12 07:04:21","88%","7:38",72,6566
"2016-02-14 06:39:54","80%","8:01",76,2339
"2016-02-15 06:52:59","75%","7:22",57,4808
"2016-02-16 07:30:41","73%","7:13",70,10524
"2016-02-17 06:53:21","84%","7:50",58,5598
"2016-02-18 06:29:17","88%","7:50",71,7311
"2016-02-19 06:51:12","94%","8:27",68,11957
"2016-02-20 06:30:17","98%","9:10",69,12455
"2016-02-21 07:59:13","79%","8:03",61,4721
"2016-02-22 06:50:07","78%","7:23",72,4364
"2016-02-23 06:49:09","81%","7:33",66,6250
"2016-02-24 06:49:22","76%","7:36",71,6571
"2016-02-25 07:08:35","80%","7:21",59,6735
"2016-02-26 06:44:11","68%","6:08",63,3643
"2016-02-27 07:19:25","84%","7:17",66,3328
"2016-02-28 06:49:17","81%","7:36",68,4941
"2016-02-29 06:55:59","89%","7:56",52,7272
"2016-03-01 06:30:10","84%","7:43",58,7576
"2016-03-02 06:38:21","90%","7:56",56,10948
"2016-03-03 05:23:29","77%","6:49",53,7588
"2016-03-04 07:19:15","93%","8:51",82,28251
"2016-03-05 07:24:01","98%","8:33",70,21230
"2016-03-06 07:59:15","70%","5:56",86,0
"2016-03-07 06:42:28","89%","7:53",52,2700
"2016-03-08 06:38:13","74%","6:32",68,5973
"2016-03-09 06:44:10","81%","7:58",64,8120
"2016-03-10 06:39:18","86%","7:58",85,6533
"2016-03-11 06:39:14","61%","7:20",75,7375
"2016-03-12 07:29:20","49%","4:39",60,6161
"2016-03-13 07:45:17","72%","7:20",61,7042
"2016-03-14 08:00:20","87%","8:35",77,12486
"2016-03-15 08:14:06","86%","8:47",98,12681
"2016-03-16 08:11:23","83%","8:01",68,11138
"2016-03-17 08:08:38","91%","8:14",56,4677
"2016-03-18 07:43:56","90%","8:13",82,2218
"2016-03-19 09:28:33","83%","7:52",66,1331
"2016-03-20 08:30:18","72%","6:54",74,4399
"2016-03-21 08:55:48","74%","7:37",75,10507
"2016-03-24 08:54:24","82%","7:57",62,2390
"2016-03-25 09:00:32","83%","7:41",65,1356
"2016-03-26 09:43:21","55%","5:50",60,5801
"2016-03-27 08:20:00","91%","8:20",68,5357
"2016-03-28 07:05:04","83%","7:50",64,2832
"2016-03-29 07:12:18","81%","7:50",63,10487
"2016-03-30 06:53:15","66%","7:18",48,7373
"2016-03-31 07:14:12","87%","7:43",67,0
"2016-04-01 06:35:45","96%","8:06",58,2935
"2016-04-02 06:49:10","88%","7:57",76,5786
"2016-04-03 06:59:14","86%","8:08",66,7357
"2016-04-04 06:21:20","91%","7:49",59,4523
"2016-04-05 06:27:51","77%","7:57",52,10271
"2016-04-06 06:23:40","81%","8:10",69,7162
"2016-04-07 06:23:02","73%","8:11",47,4807
"2016-04-08 06:25:37","90%","8:30",59,2924
"2016-04-09 06:28:00","87%","8:23",55,6409
"2016-04-10 07:31:12","61%","7:33",62,4843
"2016-04-11 07:41:36","59%","6:03",58,4885
"2016-04-12 06:43:33","89%","8:17",60,4091
"2016-04-13 06:40:20","85%","8:11",62,8000
"2016-04-14 06:27:39","81%","8:16",52,5554
"2016-04-15 06:53:59","84%","8:14",53,3478
"2016-04-16 07:29:10","79%","8:19",53,9230
"2016-04-17 07:54:03","79%","7:58",60,4772
"2016-04-18 06:39:34","87%","8:42",55,7020
"2016-04-19 06:08:37","74%","7:40",59,5708
"2016-04-20 06:20:06","87%","8:08",57,8634
"2016-04-21 06:29:04","90%","8:26",80,4773
"2016-04-22 06:58:46","85%","8:12",65,3468
"2016-04-23 07:07:32","78%","8:10",64,10022
"2016-04-24 07:12:36","86%","8:33",54,6491
"2016-04-25 07:15:17","87%","8:11",59,1887
"2016-04-26 06:42:49","82%","8:27",51,5525
"2016-04-27 06:58:18","84%","8:15",54,8916
"2016-04-28 06:58:46","87%","8:29",60,5568
"2016-04-29 07:19:06","83%","8:16",64,5136
"2016-04-30 07:16:37","66%","7:44",66,5749
"2016-05-01 07:29:47","84%","8:06",53,6076
